sec_title,start,end
title,0,154
abstract,154,1084
I. INTRODUCTION,1084,1100
I. INTRODUCTION-0,1100,2831
I. INTRODUCTION-1,2831,3469
I. INTRODUCTION-2,3469,4673
I. INTRODUCTION-3,4673,5015
II. EXPERIMENTAL DETAILS,5015,5040
II. EXPERIMENTAL DETAILS-0,5040,5940
III. RESULTS AND DISCUSSION,5940,5968
A. Structural analysis,5968,5991
A. Structural analysis-0,5991,7667
B. Magnetic property,7667,7688
1. Griffiths-like phase study,7688,7718
1. Griffiths-like phase study-0,7718,10716
1. Griffiths-like phase study-1,10716,11521
1. Griffiths-like phase study-2,11521,12618
1. Griffiths-like phase study-3,12618,13666
2. Isothermal magnetization study in first quadrant,13666,13718
2. Isothermal magnetization study in first quadrant-0,13718,15338
2. Isothermal magnetization study in first quadrant-1,15338,15424
2. Isothermal magnetization study in first quadrant-2,15424,17284
2. Isothermal magnetization study in first quadrant-3,17284,18256
2. Isothermal magnetization study in first quadrant-4,18256,18821
2. Isothermal magnetization study in first quadrant-5,18821,19475
2. Isothermal magnetization study in first quadrant-6,19475,20483
2. Isothermal magnetization study in first quadrant-7,20483,21258
C. Temperature and field dependent transport study,21258,21309
C. Temperature and field dependent transport study-0,21309,23000
C. Temperature and field dependent transport study-1,23000,24103
C. Temperature and field dependent transport study-2,24103,25026
C. Temperature and field dependent transport study-3,25026,25727
IV. CONCLUSIONS,25727,25743
IV. CONCLUSIONS-0,25743,27028
TABLE I. ,27028,27038
TABLE I. -0,27038,27262
TABLE I. -body-0,27262,27726
FIG. 1. ,27726,27735
FIG. 1. -0,27735,28023
FIG. 2. ,28023,28032
FIG. 2. -0,28032,28731
FIG. 3. ,28731,28740
FIG. 3. -0,28740,28907
FIG. 4. ,28907,28916
FIG. 4. -0,28916,29052
FIG. 5. ,29052,29061
FIG. 5. -0,29061,29333
FIG. 6. ,29333,29342
FIG. 6. -0,29342,29780
